Organism	Is Reference Strain	Species	Species NCBI taxon ID	Strain	Strain NCBI taxon ID	Chromosomes	Supercontigs	Contigs	Genome Source	Genome Version/Assembly ID	Structural Annotation Source	Structural Annotation Version	EC#	Genes	GO terms	Non Protein coding genes	Orthologs	Protein coding genes	Pseudogenes
Plasmodium vinckei petteri CR 2020	no	Plasmodium vinckei	5860	petteri CR 2020	N/A	14	0	0	INSDC	GCA_903994235.1	GenBank	Aug 06, 2020	469	5388	3367	108	5280	5280	36
Plasmodium vinckei vinckei CY	yes	Plasmodium vinckei	5860	vinckei CY	N/A	14	0	0	INSDC	GCA_900681995.1	GenBank	Jan 30, 2019	471	5151	3296	100	5051	5051	19
Plasmodium vinckei vinckei strain vinckei	no	Plasmodium vinckei	5860	vinckei strain vinckei	N/A	0	49	0	GenBank	GCA_000709005.1	GenBank	Jun 17, 2014	333	5009	2321	55	4954	4954	0
Plasmodium vivax P01	yes	Plasmodium vivax	5855	P01	N/A	14	0	226	GenBank	GCA_900093555.2	GeneDB	Sep 01, 2020	852	6861	4516	338	6523	6523	185
Plasmodium vivax PAM	no	Plasmodium vivax	5855	PAM	N/A	0	28	0	INSDC	GCA_949152365.1	GenBank	Mar 11, 2023	1	6819	2984	407	6412	6412	322
Plasmodium vivax PvSY56	no	Plasmodium vivax	5855	PvSY56	N/A	0	14	0	INSDC	GCA_003402215.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Plasmodium vivax PvW1	no	Plasmodium vivax	5855	PvW1	N/A	0	19	0	INSDC	GCA_914969965.1	GenBank	Jun 27, 2022	5	6175	3027	100	6075	6075	0
Plasmodium vivax-like Pvl01	yes	Plasmodium vivax-like sp.	27990	Pvl01	N/A	14	0	1176	Sanger	Jun 21, 2018	Sanger	Jun 21, 2018	516	5604	2013	73	5275	5531	256
Pneumocystis wakefieldiae 2A	yes	Pneumocystis wakefieldiae	38082	2A	N/A	17	0	0	INSDC	GCA_017301755.1	GenBank	Mar 09, 2021	N/A	3223	2359	41	3182	3182	0
Plasmodium yoelii yoelii 17X	yes	Plasmodium yoelii	5861	yoelii 17X	N/A	14	0	0	GenBank	GCA_900002385.2	GeneDB	Sep 01, 2020	801	6263	4605	223	6040	6040	57
Plasmodium yoelii yoelii 17XNL 2023	no	Plasmodium yoelii	5861	yoelii 17XNL 2023	N/A	14	0	0	INSDC	GCA_020844765.3	GenBank	Feb 17, 2023	2	6054	2721	83	5971	5971	0
Plasmodium yoelii yoelii YM	no	Plasmodium yoelii	5861	yoelii YM	N/A	14	181	0	INSDC	GCA_900002395.1	GenBank	Nov 19, 2015	656	5832	3953	178	5654	5654	54
Rhipicephalus annulatus KleinGrass	yes	Rhipicephalus annulatus	34611	KleinGrass	N/A	0	16339	0	INSDC	GCA_013436015.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Rhizophagus irregularis A1 (DAOM-664342)	no	Rhizophagus irregularis	588596	A1 (DAOM-664342)	N/A	0	0	11196	GenBank	GCA_001593125.1	GenBank	Dec 11, 2017	1358	26582	11482	106	26476	26476	0
Rhizophagus irregularis C2	no	Rhizophagus irregularis	588596	C2	N/A	33	0	0	INSDC	GCA_020716745.1	GenBank	Dec 07, 2021	2	25634	9779	90	25544	25544	0
Raffaelea lauricola RL4	yes	Raffaelea lauricola	483707	RL4	N/A	0	169	0	INSDC	GCA_014183025.1	RollinsLab	Feb 11, 2022	N/A	10461	5935	146	10315	10315	0
Rickenella mellea Ricmel1	yes	Rickenella mellea	50990	Ricmel1	N/A	0	848	0	INSDC	GCA_004355085.1	GenBank	Mar 20, 2019	1079	17193	9635	59	17134	17134	1
Rhipicephalus microplus Rmic-2018	yes	Rhipicephalus microplus	6941	Rmic-2018	N/A	11	0	7036	INSDC	GCA_013339725.1	RefSeq	GCF_013339725.1	5	28997	11986	10399	18598	18598	1114
Rhizopus microsporus var. microsporus ATCC 52814	yes	Rhizopus microsporus	58291	var. microsporus ATCC 52814	N/A	0	560	0	INSDC	GCA_002083745.1	GenBank	Apr 12, 2017	1034	11554	7373	58	11496	11496	0
Rattus norvegicus BN/NHsdMcwi	yes	Rattus norvegicus	10116	BN/NHsdMcwi	N/A	22	153	0	INSDC	GCA_015227675.2	GenBank	Dec 02, 2020	50	30560	20735	7421	23096	23139	918
Rhodnius prolixus CDC	yes	Rhodnius prolixus	13249	CDC	N/A	0	16537	0	INSDC	GCA_000181055.3	VectorBase	RproC3.5	1437	15738	9832	670	15061	15068	47
Rhipicephalus sanguineus Rsan-2018	yes	Rhipicephalus sanguineus	34632	Rsan-2018	N/A	11	2316	0	INSDC	GCF_013339695.2	GenBank	GCF_013339695.2	N/A	32718	13151	10208	22510	22510	1263
Scedosporium apiospermum IHEM 14462	yes	Scedosporium apiospermum	563466	IHEM 14462	N/A	0	0	176	GenBank	GCA_000732125.1	GenBank	Mar 30, 2018	1489	10920	6276	2544	8376	8376	2544
Stomoxys calcitrans USDA	yes	Stomoxys calcitrans	35570	USDA	N/A	0	12042	0	INSDC	GCA_001015335.1	VectorBase	ScalU1.6	895	16970	10169	2892	14078	14078	117
Sabethes cyaneus ScyaPA1	yes	Sabethes cyaneus	53552	ScyaPA1	N/A	3	5	0	INSDC	GCF_943734655.1	GenBank	Feb 28, 2023	2	14156	8736	1062	13094	13094	257
Synchytrium endobioticum MB42	yes	Synchytrium endobioticum	286115	MB42	N/A	0	786	0	INSDC	GCA_006535955.1	GenBank	Jul 01, 2019	709	8031	5002	0	8031	8031	0
Saccharomycodes ludwigii UTAD17	yes	Saccharomycodes ludwigii	36035	UTAD17	N/A	0	1360	0	INSDC	GCA_900491785.1	GenBank	Sep 05, 2018	615	4017	3466	2	4015	4015	0
Sarcocystis neurona SN3	yes	Sarcocystis neurona	42890	SN3	N/A	0	171	701	GenBank	GCA_000727475.1	KissingerLab	Apr 13, 2015	1	7089	2838	124	6965	6965	0
Sarcocystis neurona SO SN1	no	Sarcocystis neurona	42890	SO SN1	N/A	0	3066	0	GenBank	GCA_000875885.1	ParkinsonLab	July 23, 2015	N/A	7077	2819	0	7077	7077	0
Saccharomyces paradoxus CBS432	yes	Saccharomyces paradoxus	27291	CBS432	N/A	16	0	0	INSDC	GCA_002079055.1	GenBank	Feb 03, 2020	845	5803	4596	275	5528	5528	0
Spironucleus salmonicida ATCC50377	yes	Spironucleus salmonicida	348837	ATCC50377	N/A	9	33	0	GenBank	GCA_000497125.2	GenBank	Oct 05, 2021	N/A	9066	3260	399	8667	8667	194
Sarcoptes scabiei Arlian	yes	Sarcoptes scabiei	52283	Arlian	N/A	0	18859	0	INSDC	GCA_000828355.1	VectorBase	SscaA1.2	629	10797	6701	326	10471	10471	186
Trichoderma atroviride strain JCM 9410	yes	Trichoderma atroviride	63577	strain JCM 9410	N/A	0	23	0	INSDC	GCA_001599035.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma brucei EATRO1125	no	Trypanosoma brucei	5691	EATRO1125	N/A	11	0	685	INSDC	GCA_019096175.1	RoditiLab	Aug 27, 2021	34	10890	3956	2680	8210	8210	2138
Trypanosoma brucei Lister strain 427	no	Trypanosoma brucei	5691	Lister strain 427	N/A	11	0	21	GeneDB	Jan 16, 2013	GeneDB	Jan 16, 2013	829	9313	3554	469	8314	8844	530
Trypanosoma brucei Lister strain 427 2018	no	Trypanosoma brucei	5691	Lister strain 427 2018	N/A	44	0	272	GenBank	GCA_900497135.1	SiegelLab	Dec 17, 2018	34	17243	4830	5855	11388	11388	5481
Trichomonascus ciferrii CBS 4856	yes	Trichomonascus ciferrii	44093	CBS 4856	N/A	0	583	0	INSDC	GCA_008704605.1	GenBank	Sep 26, 2019	828	6909	4842	6	6903	6903	6
Trypanosoma congolense IL3000 2019	no	Trypanosoma congolense	5692	IL3000 2019	N/A	11	0	364	GenBank	GCA_003013265.1	Liverpool	Sep 10, 2019	749	10315	3200	2293	8022	8022	2028
Thelohania contejeani T1	yes	Thelohania contejeani	164912	T1	N/A	0	1391	0	INSDC	GCA_014805555.1	GenBank	Sep 30, 2020	N/A	2865	1297	0	2865	2865	0
Trypanosoma congolense Tc1/148	no	Trypanosoma congolense	5692	Tc1/148	N/A	0	536	0	INSDC	GCA_002287245.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi strain 231	no	Trypanosoma cruzi	5693	strain 231	N/A	0	0	8469	GenBank	GCA_900252365.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi Berenice	no	Trypanosoma cruzi	5693	Berenice	N/A	0	923	0	INSDC	GCA_013358655.1	GenBank	Jun 18, 2020	921	14352	6996	1045	13307	13307	599
Trypanosoma cruzi Brazil A4	no	Trypanosoma cruzi	5693	Brazil A4	N/A	43	0	359	GenBank	GCA_015033625.1	TarletonLab	Aug 26, 2019	57	18708	5628	4475	14233	14233	4475
Trypanosoma cruzi Bug2148	no	Trypanosoma cruzi	5693	Bug2148	N/A	0	0	929	GenBank	GCA_002749415.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi strain CL	no	Trypanosoma cruzi	5693	strain CL	N/A	0	7764	0	INSDC	GCA_003719155.1	GenBank	Nov 05, 2018	74	34344	10216	2066	32278	32278	1962
Trypanosoma cruzi CL Brener Esmeraldo-like	yes	Trypanosoma cruzi	5693	CL Brener Esmeraldo-like	N/A	41	0	0	GenBank	GCA_000209065.1	GeneDB	Dec 07, 2015	529	10596	6631	1557	9039	9039	1299
Trypanosoma cruzi CL Brener Non-Esmeraldo-like	no	Trypanosoma cruzi	5693	CL Brener Non-Esmeraldo-like	N/A	41	0	0	GenBank	GCA_000209065.1	GeneDB	Dec 07, 2015	591	11106	6697	1721	9385	9385	1446
Trypanosoma cruzi Dm28c 2017	no	Trypanosoma cruzi	5693	Dm28c 2017	N/A	0	1029	0	GenBank	GCA_002219105.2	GenBank	Sep 15, 2017	60	22870	6413	9227	13643	13643	6614
Trypanosoma cruzi Dm28c 2018	no	Trypanosoma cruzi	5693	Dm28c 2018	N/A	0	0	636	GenBank	GCA_003177105.1	GenBank	May 30, 2018	2145	19112	8567	3793	15319	15319	1878
Trypanosoma cruzi strain G	no	Trypanosoma cruzi	5693	strain G	N/A	0	1450	0	INSDC	GCA_003719455.1	GenBank	Nov 08, 2018	57	13503	4546	795	12708	12708	740
Trypanosoma cruzi strain S11	no	Trypanosoma cruzi	5693	strain S11	N/A	0	7855	0	INSDC	GCA_003594385.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi strain S15	no	Trypanosoma cruzi	5693	strain S15	N/A	0	9197	0	INSDC	GCA_003594585.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi strain S154a	no	Trypanosoma cruzi	5693	strain S154a	N/A	0	6946	0	INSDC	GCA_003594715.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi strain S162a	no	Trypanosoma cruzi	5693	strain S162a	N/A	0	8588	0	INSDC	GCA_003594605.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi strain S23b	no	Trypanosoma cruzi	5693	strain S23b	N/A	0	7145	0	INSDC	GCA_003594425.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi strain S44a	no	Trypanosoma cruzi	5693	strain S44a	N/A	0	4971	0	INSDC	GCA_003594705.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi strain S92a	no	Trypanosoma cruzi	5693	strain S92a	N/A	0	7134	0	INSDC	GCA_003594445.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi Sylvio X10/1	no	Trypanosoma cruzi	5693	Sylvio X10/1	N/A	47	0	0	AnderssonLab	Mar 18, 2017	AnderssonLab	Mar 18, 2017	N/A	20684	3019	65	18643	20619	1976
Trypanosoma cruzi Sylvio X10/1-2012	no	Trypanosoma cruzi	5693	Sylvio X10/1-2012	N/A	0	0	27019	GenBank	GCA_000188675.2	GenBank	Oct 2, 2012	59	10876	4355	29	10847	10847	29
Trypanosoma cruzi TCC	no	Trypanosoma cruzi	5693	TCC	N/A	0	0	1236	GenBank	GCA_003177095.1	GenBank	May 30, 2018	2320	29302	13367	5111	24191	24191	2964
Trypanosoma cruzi strain Y	no	Trypanosoma cruzi	5693	strain Y	N/A	0	0	9821	GenBank	GCA_002749425.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi Y C6	no	Trypanosoma cruzi	5693	Y C6	N/A	40	0	226	GenBank	GCA_015033655.1	TarletonLab	Aug 26, 2019	43	17650	5498	3382	14268	14268	3382
Trypanosoma cruzi strain Ycl2	no	Trypanosoma cruzi	5693	strain Ycl2	N/A	0	6884	0	INSDC	GCA_003594485.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi strain Ycl4	no	Trypanosoma cruzi	5693	strain Ycl4	N/A	0	6664	0	INSDC	GCA_003594405.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi strain Ycl6	no	Trypanosoma cruzi	5693	strain Ycl6	N/A	0	6967	0	INSDC	GCA_003594465.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma cruzi marinkellei strain B7	no	Trypanosoma cruzi	5693	marinkellei strain B7	N/A	0	16783	0	GenBank	GCA_000300495.1	SchnauferLab	Jun 03, 2014	55	10228	4112	0	10228	10228	0
Trypanosoma equiperdum OVI	yes	Trypanosoma equiperdum	5694	OVI	N/A	0	2026	0	INSDC	GCA_001457755.2	GenBank	Oct 05, 2016	874	9135	4667	1467	7668	7668	1396
Trypanosoma evansi strain STIB 805	yes	Trypanosoma evansi	5697	strain STIB 805	N/A	13	0	0	GenBank	GCA_917563935.1	SchnauferLab	Jun 03, 2014	3	10104	3656	1457	8647	8647	1457
Tritrichomonas foetus strain K	yes	Tritrichomonas foetus	1144522	strain K	N/A	0	1480	0	INSDC	GCA_001839685.1	GenBank	Oct 25, 2016	1240	25336	14127	306	25030	25030	0
Toxoplasma gondii strain ME49xCTG F1 S27	no	Toxoplasma gondii	5811	strain ME49xCTG F1 S27	N/A	0	48	0	INSDC	GCA_014898695.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Toxoplasma gondii RH 2016	no	Toxoplasma gondii	5811	RH 2016	N/A	0	0	441	GenBank	GCA_001593265.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma grayi ANR4	yes	Trypanosoma grayi	71804	ANR4	N/A	0	0	2871	GenBank	GCA_000691245.1	GenBank	Jun 17, 2014	1	10676	4444	91	10585	10585	2
Trachipleistophora hominis Unknown strain	yes	Trachipleistophora hominis	72359	Unknown strain	N/A	0	310	0	GenBank	GCA_000316135.1	GenBank	Mar 19, 2015	577	3253	1606	41	3212	3212	0
Triatoma infestans isolate FIOC_28	yes	Triatoma infestans	30076	isolate FIOC_28	N/A	0	14951	0	INSDC	GCA_011037195.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Talaromyces marneffei TM4	no	Talaromyces marneffei	37727	TM4	N/A	8	0	0	INSDC	GCA_003971505.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma melophagium St. Kilda	yes	Trypanosoma melophagium	715481	St. Kilda	N/A	0	64	0	INSDC	GCA_022059095.1	GenBank	Feb 08, 2022	N/A	9768	4378	0	9768	9768	0
Trichophyton mentagrophytes TIMM 2789	yes	Trichophyton mentagrophytes	523103	TIMM 2789	N/A	0	16543	0	INSDC	GCA_003118255.1	GenBank	Mar 07, 2018	N/A	7958	4858	98	7860	7860	0
Theileria orientalis Fish Creek	no	Theileria orientalis	68886	Fish Creek	N/A	4	0	0	INSDC	GCA_003072545.3	GenBank	Feb 07, 2022	N/A	3379	1713	57	3322	3322	0
Theileria orientalis Goon Nure	no	Theileria orientalis	68886	Goon Nure	N/A	4	0	0	INSDC	GCA_003072535.3	GenBank	Feb 07, 2022	N/A	3215	1628	63	3152	3152	0
Tubulinosema ratisbonensis Franzen	yes	Tubulinosema ratisbonensis	291195	Franzen	N/A	0	952	0	INSDC	GCA_004000155.1	GenBank	Jan 08, 2019	192	3082	1731	69	3013	3013	0
Trichoderma reesei QM6a 2017	no	Trichoderma reesei	51453	QM6a 2017	N/A	7	0	0	INSDC	GCA_002006585.1	WangLab	May 18, 2021	3	10238	5691	159	10079	10079	0
Trichomonas tenax strain NIH4 ATCC 30207	yes	Trichomonas tenax	43075	strain NIH4 ATCC 30207	N/A	0	4161	0	INSDC	GCA_900231805.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Trypanosoma theileri isolate Edinburgh	yes	Trypanosoma theileri	67003	isolate Edinburgh	N/A	0	0	253	GenBank	GCA_002087225.1	GenBank	Apr 12, 2017	817	11312	5808	0	11312	11312	0
Trichomonas vaginalis G3 2022	yes	Trichomonas vaginalis	5722	G3 2022	N/A	6	212	0	INSDC	GCA_026262505.1	GenBank	Dec 07, 2022	3	88188	19801	51878	72290	36310	15274
Verruconis gallopava strain CBS 43764	yes	Verruconis gallopava	253628	strain CBS 43764	N/A	0	367	0	INSDC	GCA_000836295.1	GenBank	Jun 16, 2016	925	9871	6714	53	9818	9818	5
Xylaria arbuscula CBS 124340	yes	Xylaria arbuscula	114810	CBS 124340	N/A	0	89	0	INSDC	GCA_022385695.1	GenBank	Mar 18, 2022	1	13122	6773	177	12945	12945	7
Yarrowia lipolytica CLIB89 (W29)	no	Yarrowia lipolytica	4952	CLIB89 (W29)	N/A	6	0	0	GenBank	GCA_001761485.1	GenBank	Oct 25, 2016	991	8746	5008	797	7949	7949	115
